,P6426,P6440,P7040,OFICIO,P6430,RAMA4D_R4,INGLABO
594,4,1,2,45,1,2670,600000
595,60,1,2,97,1,4644, 
596,12,2,2,45,4,4759,190000
597,3,2,2,45,4,4729,400000
598,360,1,2,44,4,6511,1600000
599,0,1,2,54,3,9700,500000
600,300,2,2,87,4,4520,200000
601,12,2,2,41,4,4759,1000000
602,12,2,2,45,6,4759, 
603,144,1,2,58,2,8423,1800000
604,240,2,2,98,4,4921,800000
605,48,1,2,97,1,5224,900000
606,5,1,2,3,1,4631,680000
607,7,1,2,37,1,5320,900000
608,120,2,2,45,4,4792,50000
609,1,1,2,45,1,4711,700000
610,36,2,2,84,4,9522,350000
611,480,2,2,84,4,4520, 
612,36,2,2,3,4,4321,700000
613,96,1,2,21,4,8412,3000000
614,84,1,2,21,1,6511,3500000
615,60,2,2,57,4,9602,150000
616,22,1,2,3,1,8610,1000000
617,0,2,2,39,6,3315, 
618,1,2,2,21,5,3315, 
619,360,2,2,80,4,9523,1200000
620,120,2,2,45,4,5619,30000
621,12,2,2,18,4,9319,250000
622,12,2,2,80,6,9523, 
623,2,1,2,3,1,8544,1300000
624,156,1,2,3,1,4322,1200000
625,4,1,2,37,1,5320,900000
626,3,1,2,3,1,2599,615000
627,124,2,2,95,4,4111,0
628,228,1,2,97,1,2011,1200000
629,7,1,2,38,1,8220,900000
630,12,2,2,41,4,4729,30000
631,120,2,2,41,4,4729, 
632,2,1,2,3,1,8220,800000
633,120,2,2,57,4,9602,40000
634,1,1,2,58,3,9700,1440000
635,72,2,2,21,5,4210,3000000
636,72,1,2,32,1,4210,1500000
637,60,2,2,45,4,4792,100000
638,12,1,2,11,1,4771, 
639,180,2,2,45,4,4642,1500000
640,0,1,2,58,1,5630,480000
641,218,2,2,98,4,4921,900000
642,204,1,2,12,2,8424,4000000
643,9,1,2,39,4,9499,2000000
644,2,2,2,97,4,5320,720000
645,3,1,2,39,1,7320,980000
646,12,2,2,97,4,5320,1000000
647,48,1,2,3,1,8610,1600000
648,6,2,2,98,4,4921,0
649,300,1,2,11,1,2011,6000000
650,36,1,2,3,1,6110,1800000
651,120,1,2,11,1,4645,1500000
652,6,1,2,95,4,4111,1500000
653,120,1,2,21,1,4659,9000000
654,120,1,2,11,1,6431,1800000
655,12,2,2,45,4,4791,300000
656,24,1,2,32,1,4111,1300000
657,3,2,2,85,4,4321,400000
658,5,2,2,54,4,8121,340000
659,1,1,2,97,1,5619,160000
660,60,2,2,53,4,5619,120000
661,72,1,2,21,5,6499, 
662,72,1,2,33,1,6499,1000000
663,48,1,2,33,1,6499,1000000
664,72,1,2,33,1,6499,1000000
665,96,1,2,33,1,6412,1700000
666,48,1,2,39,1,8622,908000
667,18,1,2,13,1,8530,2000000
668,12,1,2,55,1,6499, 
669,6,2,2,53,4,5619,800000
670,48,1,2,33,1,5611,1200000
671,480,2,2,84,4,4520,1000000
672,12,1,2,21,1,8610,910000
673,144,1,2,93,1,4520,906000
674,6,1,2,59,1,8610,1000000
675,168,1,2,8,1,4773,6000000
676,12,1,2,12,1,3511,8000000
677,192,1,2,3,1,3600, 
678,14,2,2,45,4,4792,100000
679,4,1,2,39,1,3600,600000
680,24,1,2,98,1,3511,1200000
681,12,1,2,55,1,8621,400000
682,5,1,2,33,1,6412,980000
683,36,1,2,98,1,9601,900000
684,6,1,2,3,1,4321,1500000
685,36,1,2,56,1,9601,900000
686,2,1,2,3,1,4321,1000000
687,2,1,2,3,1,4321,1000000
688,60,1,2,11,1,5320,1200000
689,12,2,2,45,4,4799,800000
690,12,2,2,79,4,1410,60000
691,72,1,2,53,1,1081,390000
692,12,1,2,3,1,6201,910000
693,468,2,2,95,4,4111,200000
694,60,2,2,45,4,4792,50000
695,24,1,2,11,1,6412,1000000
696,324,1,2,13,2,8530,4000000
697,120,1,2,45,1,4711,700000
698,2,2,2,55,4,8121,450000
699,36,1,2,87,1,3290,600000
700,24,2,2,45,4,5619,60000
701,4,2,2,57,4,9602,170000
702,36,1,2,45,1,4719,600000
703,12,2,2,45,6,4719, 
704,360,2,2,11,4,6920,800000
705,36,1,2,98,1,8010,1300000
706,36,1,2,58,1,8010,2000000
707,6,1,2,45,1,4741,4000000
708,120,2,2,98,4,4921,700000
709,24,1,2,3,1,4111,980000
710,5,1,2,39,1,8610,780000
711,24,2,2,45,4,5619,300000
712,4,2,2,45,4,5619,600000
713,6,1,2,57,1,9602,824000
714,420,2,2,95,4,4111,200000
715,36,1,2,32,1,8890,1200000
716,24,1,2,59,1,8610,1000000
717,3,1,2,33,1,8291,908000
718,132,2,2,98,4,4921,600000
719,12,2,2,57,4,9602,200000
720,84,2,2,98,4,4921,900000
721,120,2,2,98,4,4921,500000
722,18,2,2,45,4,4799,200000
723,12,1,2,79,1,3110,1200000
724,520,2,2,87,4,4322,0
725,24,1,2,54,3,9700,100000
726,224,2,2,45,4,5619,1000000
727,72,2,2,53,6,5619, 
728,144,2,2,98,4,4921,1200000
729,4,2,2,41,4,4771,600000
730,96,1,1,45,1,4541,1600000
731,60,2,2,98,4,4921,840000
732,2,2,2,45,4,4729,30000
733,1,2,2,75,4,1391,100000
734,1,2,2,55,4,8121,140000
735,2,2,2,3,4,9512,400000
736,2,1,2,87,1,2021,1200000
737,424,2,2,95,4,4111, 
738,240,2,2,45,4,4781,1400000
739,204,2,2,98,4,4921,900000
740,8,1,2,97,1,4752,908526
741,12,2,2,45,4,4781,600000
742,1,1,2,59,3,9700,720000
743,180,2,2,45,4,4781,1200000
744,60,2,1,81,4,9524,200000
745,1,2,2,97,4,5320,0
746,420,1,2,33,1,6412, 
747,24,1,2,16,1,7110,1200000
748,156,1,2,21,1,6412,7000000
749,300,1,2,21,4,8691,6500000
750,120,1,2,2,1,4659,3500000
751,24,1,2,44,1,6522,3000000
752,0,1,2,38,1,2100,1300000
753,24,2,2,16,4,7410,4000000
754,168,2,2,21,5,2392, 
755,72,1,2,44,1,2392,1200000
756,4,1,2,21,4,8413,1600000
757,14,1,2,93,1,4111,700000
758,168,2,2,57,5,9602,1200000
