,P6426,P6440,P7040,OFICIO,P6430,RAMA4D_R4,INGLABO
8995,12,2,2,79,7,1410, 
8996,5,1,2,85,1,6820,1014000
8997,12,2,2,94,5,3290,400000
8998,5,1,2,13,1,8530,3300000
8999,6,2,2,45,4,4792,1000000
9000,48,2,2,55,4,8121,950000
9001,240,2,2,95,4,4111,400000
9002,120,2,2,45,4,4711,300000
9003,108,2,2,50,4,5630,2000000
9004,0,1,2,95,1,4111,910000
9005,264,2,2,92,4,1811,300000
9006,108,1,2,59,1,8621,908000
9007,12,1,2,58,1,4111,600000
9008,96,1,2,58,1,6820,1300000
9009,48,2,2,97,4,5320,1000000
9010,12,1,2,77,1,5619,800000
9011,180,2,2,98,4,4921,1000000
9012,14,1,2,97,1,5629,908000
9013,8,1,2,62,1,112,908000
9014,24,1,2,32,1,6810,1000000
9015,36,1,2,83,1,2511,1200000
9016,24,1,2,98,1,4923,1200000
9017,36,1,2,59,1,8622,908526
9018,168,1,2,85,1,4111,1600000
9019,23,1,2,32,2,8530,1800000
9020,12,1,2,84,1,4774,1014000
9021,84,2,2,98,4,4923,1200000
9022,240,2,2,41,4,4711,1800000
9023,60,2,2,81,4,1690,1200000
9024,12,1,2,53,1,5611,1000000
9025,36,1,2,95,1,4111,908000
9026,24,1,2,55,1,8621,908000
9027,48,2,1,41,4,4711,2000000
9028,36,2,2,41,4,4721,1000000
9029,168,2,2,98,4,4923, 
9030,24,1,2,19,1,8544,908000
9031,36,2,2,87,4,4322,1000000
9032,6,1,2,77,1,1081,400000
9033,120,1,2,58,2,8424,3000000
9034,60,2,2,41,4,4774,900000
9035,6,1,2,44,1,4111,1200000
9036,24,2,2,79,4,9529,150000
9037,60,2,2,44,4,6511,2000000
9038,48,1,2,99,1,4520,1200000
9039,36,2,2,57,4,9602,600000
9040,2,1,2,39,4,8412,3000000
9041,12,1,2,59,1,7912,1200000
9042,7,1,2,33,1,6494,910000
9043,18,1,2,45,1,4761,910000
9044,36,1,2,7,4,8621,2500000
9045,15,2,2,98,4,4921,500000
9046,24,2,2,53,4,5611,300000
9047,220,2,2,95,4,4111,950000
9048,120,2,2,57,4,9602,150000
9049,36,1,2,98,1,4923,800000
9050,60,1,2,45,1,9200,908000
9051,120,2,2,95,4,4111,800000
9052,4,1,2,19,4,8890,1700000
9053,60,1,2,33,1,1081,850000
9054,385,2,2,55,4,8121,800000
9055,24,1,2,40,1,4665,1200000
9056,24,2,2,97,7,4665, 
9057,240,2,2,41,4,4771, 
9058,120,2,2,56,4,9601,150000
9059,108,1,2,59,1,8621,908000
9060,4,1,2,81,1,4663,350000
9061,96,1,2,97,1,1104,908000
9062,3,1,2,13,1,8559,908000
9063,276,1,2,45,1,1062,908526
9064,60,1,2,53,1,5611,1100000
9065,72,1,2,21,1,3290,5000000
9066,264,1,2,11,1,1701,3500000
9067,72,1,2,54,3,9700,908526
9068,10,2,2,51,5,5611, 
9069,10,2,2,53,4,5619, 
9070,60,1,2,13,1,8559, 
9071,120,2,2,41,4,4742, 
9072,1,2,2,53,4,5619,200000
9073,144,1,2,13,2,8530,3480646
9074,120,1,2,39,1,5310,908526
9075,72,1,2,6,1,8621,3000000
9076,120,2,2,79,5,1399,1500000
9077,24,2,2,80,4,1513,600000
9078,108,1,2,79,1,1399,1000000
9079,150,1,2,21,1,4321,3200000
9080,72,1,2,11,1,8691,4000000
9081,252,1,2,21,1,3821,3000000
9082,48,2,1,21,4,6810,2400000
9083,168,1,2,31,2,8412, 
9084,24,1,2,33,1,4663,908526
9085,32,1,2,21,1,1090,2400000
9086,36,2,2,45,4,4769,300000
9087,8,1,2,90,1,2229,1000000
9088,24,1,2,97,1,2100,325000
9089,36,1,2,84,1,4520,800000
9090,48,2,2,41,4,4771,2000000
9091,0,2,2,93,4,4330,0
9092,1,1,1,99,4,4520,500000
9093,1,2,2,41,4,4722,230000
9094,24,2,1,16,4,7410,130000
9095,360,2,2,45,4,4789,300000
9096,192,2,2,12,4,6910,0
9097,336,1,2,58,2,8424,3150000
9098,2,2,2,94,4,3290,170000
9099,60,1,2,94,1,3290,648000
9100,108,1,2,58,1,8890,908526
9101,8,1,2,45,1,2022,908526
9102,12,2,2,41,4,4711,300000
9103,4,1,2,13,1,8530,1500000
9104,3,1,2,59,1,8691,980000
9105,4,1,2,13,1,8530,1300000
9106,2,2,2,77,4,5619,320000
9107,2,1,2,53,1,5611,908526
9108,4,2,1,97,4,5224,180000
9109,48,1,2,40,1,4752,1800000
9110,8,1,2,45,1,4752,908526
9111,4,1,2,37,1,1410, 
9112,3,1,2,58,2,8423,500000
9113,108,1,2,39,1,4631,1100000
9114,60,1,2,45,1,4631,908526
9115,10,2,2,97,4,5224,150000
9116,0,1,2,95,1,4111,300000
9117,48,1,2,99,1,3811,908526
9118,48,2,2,54,4,8121,300000
9119,24,1,2,45,1,4741,600000
9120,12,1,2,31,4,8412, 
9121,2,1,2,40,1,5611,260000
9122,2,1,2,55,1,8413,908526
9123,1,2,2,81,4,3110, 
9124,348,1,2,97,1,4663,1000000
9125,36,2,2,54,4,8890,500000
9126,264,2,2,88,4,3210,400000
9127,60,2,1,13,4,8553,800000
9128,0,1,2,13,4,8553,0
9129,48,1,2,13,4,8553,600000
9130,3,1,2,53,1,5611,760000
9131,1,1,2,58,2,8423,600000
9132,180,1,2,12,4,6910,20000000
9133,84,1,2,79,4,1410,900000
9134,29,1,2,8,1,6201,1500000
9135,0,1,2,8,4,6201,8000000
9136,6,2,2,37,4,5320, 
9137,4,2,2,45,4,5619,750000
9138,4,2,2,77,4,5619,750000
9139,3,2,2,45,4,5619, 
9140,0,1,2,97,1,4632, 
9141,3,1,2,95,1,4111,900000
9142,60,1,2,83,1,2816,1000000
9143,18,1,2,77,1,4723,1140000
9144,0,1,2,55,3,9700,152000
9145,20,1,2,97,1,4923,1200000
9146,3,2,2,55,4,8121,800000
9147,6,2,2,13,4,8553,320000
9148,48,1,2,54,3,9700,300000
9149,3,1,2,44,4,6190,100000
9150,7,1,1,45,1,4754,100000
9151,12,2,2,45,4,4721,1300000
9152,6,1,2,54,3,9700,1116526
9153,6,1,1,97,1,1082,90000
9154,3,2,2,55,4,8121,800000
9155,72,1,2,97,1,4923,1000000
9156,192,2,2,41,5,4759, 
9157,192,2,2,41,5,4759, 
9158,192,2,2,41,5,4759, 
9159,0,1,2,98,1,1104,908526
9160,0,2,2,97,4,5320,0
9161,6,2,2,97,4,5320,100000
9162,72,1,2,13,1,8544, 
9163,72,2,2,45,4,5619,960000
9164,240,2,2,45,4,5619, 
9165,36,2,2,98,4,4921,360000
9166,0,1,2,93,1,4330,800000
9167,84,2,2,12,4,6910, 
9168,11,1,2,3,1,1103,1740000
9169,9,1,2,3,1,1089,1000000
9170,480,1,2,44,4,9609,0
9171,180,1,2,54,3,9700,908526
9172,24,2,2,57,4,9609,1500000
9173,12,2,2,98,4,4921,1000000
9174,14,2,2,77,4,1089, 
9175,14,2,2,37,4,1089, 
9176,60,1,2,55,1,8621,900000
9177,96,1,2,45,1,4530,1258526
9178,132,1,2,44,1,6511,3500000
9179,60,1,2,70,1,1521,4000000
9180,168,1,2,33,1,1081,1168526
9181,6,1,2,45,1,4644,908526
9182,60,1,2,33,1,8291, 
9183,18,2,2,45,4,4724,900000
9184,10,1,1,59,4,8810,970000
9185,60,1,2,98,1,4922,980000
9186,12,1,2,45,1,4759,600000
9187,11,2,2,13,4,8559,950000
9188,168,1,2,13,2,8544,6100000
9189,6,1,1,13,1,8544,5400000
9190,24,2,2,45,4,4530,700000
9191,0,1,2,34,1,5310,908526
9192,5,1,2,33,1,4711,720000
9193,18,1,2,58,1,5619,908526
9194,84,1,2,13,1,8544, 
9195,2,2,2,55,4,8121,120000
9196,60,1,2,32,1,4762,900000
9197,5,1,2,45,4,3830,650000
9198,3,1,2,45,1,4771,450000
9199,8,1,2,98,4,4921, 
9200,10,2,2,57,4,9602,300000
9201,3,1,2,98,4,4921, 
9202,36,2,2,45,4,4792,650000
9203,10,2,2,45,4,4773,520000
9204,5,2,2,45,4,4771,200000
9205,6,2,2,45,4,4789,400000
9206,3,2,2,95,5,4111,0
9207,0,2,2,93,6,4111, 
9208,5,1,2,59,1,1071, 
9209,240,2,2,98,4,4921, 
9210,10,2,2,98,4,4921, 
9211,10,1,2,19,1,8621,1600000
9212,2,1,2,59,1,8610,800000
9213,60,1,2,21,1,6810, 
9214,5,1,2,95,1,4111,1000000
9215,8,2,2,55,4,8121,400000
9216,360,2,2,84,4,4520,1000000
9217,2,1,2,59,1,8610,1200000
9218,128,1,2,98,1,9603,120000
9219,7,1,2,77,1,1089,1400000
9220,18,2,2,59,4,9609,3000000
9221,72,1,2,11,1,6820,1992000
9222,144,1,2,9,2,3511,4800000
9223,345,1,2,30,2,8551,6200000
9224,300,1,2,19,2,8551,2900000
9225,18,1,2,2,1,4290,2400000
9226,12,1,2,5,1,8691,3700000
9227,18,1,2,97,1,4290,2500000
9228,60,2,2,75,4,1391,0
9229,24,2,2,39,4,8230,3000000
9230,7,1,2,19,1,8621,4400000
9231,48,1,2,6,1,8610,7500000
9232,96,1,1,6,1,8610,15000000
9233,260,2,2,40,5,4711,1100000
9234,0,1,2,45,1,4711,1000000
9235,36,2,2,6,5,8621,6000000
9236,3,2,2,12,5,8621,7000000
9237,360,2,2,6,4,8622, 
9238,324,1,2,13,2,8530, 
9239,84,1,2,2,1,1921,3700000
9240,2,1,2,21,1,8621,2300000
9241,204,1,2,6,1,7010,1400000
9242,288,1,2,21,1,3520,7000000
9243,12,2,2,2,4,3312,3000000
9244,372,1,2,2,1,2229,14000000
9245,14,2,2,8,4,6209,1400000
9246,36,1,1,19,1,8530, 
9247,1,1,2,19,1,8621, 
9248,240,1,2,42,1,4731, 
9249,5,1,2,13,1,8530,2500000
9250,36,2,2,57,4,9602,450000
9251,360,2,2,45,4,4792,200000
9252,36,1,2,45,1,4731,908526
9253,36,1,2,39,1,8621,908526
9254,3,1,2,93,4,4520,1000000
9255,6,2,2,77,4,5619,20000
9256,2,1,2,45,1,5619,250000
9257,48,1,2,3,1,8621,1200000
9258,36,1,2,55,1,5210,1200000
9259,348,1,2,70,1,2229,1500000
9260,120,2,2,45,4,4792,300000
9261,96,1,2,2,1,2599,1800000
9262,36,1,2,11,1,8422,1600000
9263,36,2,2,41,4,4722,300000
9264,36,2,2,41,4,4722,300000
9265,144,1,2,21,1,8530,1200000
9266,18,2,2,41,4,4719,800000
9267,24,1,2,98,1,2394,1200000
9268,3,2,2,45,6,4719, 
9269,9,1,2,53,1,5611,900000
9270,9,1,2,98,1,2392,908526
9271,120,2,2,3,4,9511,600000
9272,48,1,2,32,1,8610,1200000
9273,120,2,2,51,5,5611,1200000
9274,120,1,2,53,1,5611,600000
9275,96,1,2,58,1,8412,1200000
9276,36,1,2,33,1,1040,908526
9277,24,2,2,98,4,4921,700000
9278,60,1,2,97,1,4711,454236
9279,144,1,2,11,1,6920,1300000
9280,12,2,2,41,4,4719,500000
9281,240,2,2,98,4,4921,650000
9282,576,2,2,95,4,4111,720000
9283,24,2,2,77,4,5619,60000
9284,96,2,2,41,4,4721,1200000
9285,12,2,2,41,4,4724,200000
9286,144,1,2,33,1,4711,1014980
9287,96,1,2,55,1,8610,908526
9288,48,1,2,54,3,9700,800000
9289,6,1,2,45,1,4711,500000
9290,504,1,2,58,1,5511,1014980
9291,24,1,2,7,1,8621,1500000
9292,120,1,2,8,1,3011,3000000
9293,420,2,2,95,4,4111,800000
9294,24,1,2,45,1,4773,908526
9295,60,1,2,11,1,4111,2000000
9296,60,1,2,13,1,8530,1500000
9297,48,2,2,45,4,4741, 
9298,36,1,2,93,1,2910,908526
9299,504,2,2,53,4,5619,300000
9300,2,1,2,3,1,4631,908526
9301,6,1,2,53,1,5611,1125000
9302,3,1,2,45,1,4771,908526
9303,6,1,2,97,1,5222,1300000
9304,12,2,2,45,4,6190,50000
9305,48,2,2,98,4,4923,400000
9306,144,1,2,54,3,9700,792000
9307,2,1,2,55,1,5511,908506
9308,3,1,2,98,4,4921,700000
9309,3,1,2,97,4,5320,280000
9310,12,2,2,58,4,8010,150000
9311,24,1,2,87,1,2511,360000
9312,60,1,2,59,1,9329,300000
9313,12,1,2,99,1,3821,1014980
9314,0,1,2,11,1,5511,1200000
9315,600,2,2,99,4,4520,400000
9316,180,2,2,97,4,4921,500000
9317,72,2,1,45,4,4792,300000
9318,120,1,2,39,1,3520,1500000
9319,3,1,2,45,1,4711,1100000
9320,12,1,2,53,1,5611,1000000
9321,14,2,2,37,4,5320,500000
9322,24,2,2,45,4,4773,300000
9323,120,2,2,98,4,4923,1800000
9324,84,2,2,45,4,4792,150000
9325,144,2,2,39,4,6910,850000
9326,32,1,2,39,4,8412,1500000
9327,4,1,2,3,1,3091,1300000
9328,36,1,2,95,1,4111,908526
9329,48,1,2,39,1,8544,1300000
9330,168,1,2,39,4,8414, 
9331,180,1,2,13,2,8530, 
9332,360,1,2,45,1,4752,1300000
9333,108,1,2,21,1,8621,1300000
9334,15,1,2,97,1,1081,400000
9335,24,1,2,55,1,6910,1014980
9336,180,1,2,13,2,8530,3000000
9337,240,1,2,39,2,8412,4000000
9338,360,1,2,13,2,8530,3000000
9339,180,1,2,55,1,5511,908526
9340,72,1,2,12,1,9411,2500000
9341,14,2,2,53,4,5619,600000
9342,14,2,2,53,4,5619,600000
9343,14,2,2,45,6,5619, 
9344,14,2,2,33,6,5619, 
9345,36,1,2,97,1,4773,908526
9346,48,2,2,45,4,4792,150000
9347,48,1,2,84,1,4520,1014980
9348,48,1,2,39,1,4731,1000000
9349,10,1,2,97,1,2229,1000000
9350,60,1,2,39,1,9603,1200000
9351,24,1,2,33,1,4711,908526
9352,24,2,2,41,4,4721,400000
9353,72,1,2,58,2,8423,1600000
9354,72,1,2,33,1,4711,908576
9355,420,1,2,85,2,3511,1200000
9356,240,2,2,41,4,4761, 
9357,12,1,2,54,3,9700,200000
9358,84,2,2,41,4,4721, 
9359,3,1,2,33,1,4711,908526
9360,48,1,2,97,1,1089,908526
9361,144,1,2,33,1,7310,908526
9362,24,1,2,58,1,4752,908526
9363,3,2,2,57,4,9602,900000
9364,60,2,2,77,4,1081,500000
9365,140,1,2,59,4,8610,1600000
9366,150,1,2,58,1,8010,1200000
9367,24,1,2,13,2,8551,3200000
9368,6,1,2,39,4,8551,1300000
9369,48,2,2,3,4,2023,500000
9370,24,1,2,32,4,3600,1250000
9371,120,2,2,95,4,4111,300000
9372,90,1,2,54,3,9700,500000
9373,210,2,2,79,4,1410,100000
9374,360,2,2,77,4,1081,900000
9375,12,2,2,45,4,4781,480000
9376,72,2,2,45,4,5619,900000
9377,180,2,2,75,4,1513,250000
9378,120,2,2,75,4,1513,250000
9379,3,2,2,77,4,1081, 
9380,216,1,2,13,2,8530,2400000
9381,132,2,2,61,4,111,700000
9382,48,1,2,33,1,6499,908000
9383,6,2,2,53,4,5619,70000
9384,2,2,2,37,4,5320,500000
9385,108,1,2,13,1,8890,908526
9386,5,2,2,81,4,3110,650000
9387,280,2,2,79,4,3110,1500000
9388,155,2,2,98,4,4921,700000
9389,2,1,2,58,1,4711,908500
9390,58,2,2,98,4,4921,600000
9391,240,1,2,54,3,9700,500000
9392,2,2,2,54,4,8121,300000
9393,60,2,1,38,4,6190,450000
9394,36,2,2,41,4,4711,2000000
9395,36,2,2,98,4,4921,580000
9396,4,1,2,45,1,4711,2200000
9397,36,2,2,95,4,4111,800000
9398,6,2,2,41,4,5619,150000
9399,36,2,2,98,4,4921,300000
9400,240,2,2,54,4,8121,400000
9401,180,2,2,45,4,4781,450000
9402,18,2,2,45,4,5619, 
9403,36,1,2,45,1,1081,750000
9404,14,2,2,45,4,4781,200000
9405,24,2,2,87,4,2511,600000
9406,12,2,2,45,4,4792,60000
9407,10,1,2,45,1,1081,9085000
9408,330,2,2,56,4,9601,200000
9409,28,1,2,59,1,8430,930000
9410,3,2,2,79,4,1410,660000
9411,3,2,2,79,4,1410,570000
9412,105,1,2,84,1,4520,908000
9413,12,2,2,57,4,9602,200000
9414,1,1,2,98,1,3511,908000
9415,1,2,2,13,4,8523,600000
9416,120,2,2,57,4,9602,500000
9417,96,1,2,39,2,8412,1600000
9418,6,1,2,39,1,4659,1400000
9419,6,1,2,13,2,8530,2000000
9420,72,2,2,39,4,8219,600000
9421,72,2,2,39,6,8299, 
9422,312,1,2,13,2,8530, 
9423,24,1,2,13,2,8530, 
9424,132,1,2,59,1,8610,908000
9425,9,1,2,5,2,3600,4200000
9426,12,2,2,57,4,9602,150000
9427,120,2,2,21,4,7020, 
9428,360,2,2,53,4,5619,600000
9429,440,2,2,77,4,4723,600000
9430,60,2,2,45,4,4789,600000
9431,60,2,2,54,4,8121,200000
9432,410,2,2,6,5,8621,3000000
9433,60,1,2,39,2,8415,4000000
9434,24,2,2,41,4,4772,1400000
9435,5,1,2,62,1,8130,908526
9436,1,1,2,3,4,8299,750000
9437,120,2,2,84,4,4520, 
9438,36,1,2,45,1,4754,908526
9439,240,2,2,16,4,7310, 
9440,72,2,2,3,4,7310,600000
9441,36,2,2,54,4,8121,400000
9442,24,1,2,38,1,6190,900000
9443,8,1,2,81,1,3110,600000
9444,2,1,2,44,1,9603,700000
9445,36,1,2,59,1,8691,1100000
9446,60,1,2,37,1,8691,1100000
9447,84,2,2,98,4,4921,800000
9448,60,2,2,45,4,4542,1000000
9449,36,1,2,21,1,4541,908000
9450,36,1,2,45,1,4722,500000
9451,228,1,2,54,3,9700,850000
9452,180,2,2,45,4,4781,300000
9453,60,2,2,55,4,8121,800000
9454,24,1,2,97,1,4290,908526
9455,0,2,2,45,4,4781,0
9456,36,1,2,58,1,6820,1200000
9457,240,1,2,85,2,3511,3100000
9458,444,1,2,85,2,3511,2400000
9459,0,2,2,57,4,9602,0
9460,180,2,2,16,4,9005, 
9461,120,2,2,83,5,2511,5000000
9462,48,1,2,45,1,1104,1000000
9463,168,1,2,21,1,8530,2300000
9464,3,1,2,21,1,9499,2700000
9465,24,1,2,11,2,8412,2500000
9466,3,1,2,39,1,8220,908000
9467,384,1,2,54,3,9700,1328526
9468,18,2,2,95,4,4112,150000
9469,2,1,2,97,1,1410,908526
9470,180,2,2,98,4,4921,480000
9471,360,1,2,39,1,6412,3300000
9472,24,1,2,12,1,4659,3100000
9473,120,2,2,95,4,4112,120000
9474,12,2,2,95,4,4111,0
9475,2,1,2,95,1,4112,300000
9476,12,2,2,95,4,4112,250000
9477,120,1,2,54,3,9700,1860000
9478,36,2,2,58,4,8010,600000
9479,60,1,2,81,1,3110,908526
9480,36,2,2,13,4,8559,30000
9481,24,1,2,59,1,8730,1300000
9482,0,2,2,55,4,8121,0
9483,204,1,2,12,2,8424,4700000
9484,24,2,2,94,4,3210,20000
9485,24,1,2,39,1,8530,1200000
9486,10,1,2,39,1,2910,1100000
9487,3,1,2,3,1,1410,908526
9488,144,1,2,79,1,1410,800000
9489,6,1,2,45,1,4771,160000
9490,7,1,2,45,1,5613,1500000
9491,18,2,2,98,4,4921,1000000
9492,8,1,1,6,1,8610,16000000
9493,36,1,2,6,1,8610,14000000
9494,9,1,2,2,1,7110,5000000
9495,6,1,2,5,1,7490,3800000
9496,60,1,2,21,1,6201,9111761
9497,28,1,2,8,1,6201,8000000
9498,18,1,2,92,1,1313,1150000
9499,13,1,2,32,1,1313,1300000
9500,156,1,2,55,1,2910,1446000
9501,11,2,2,54,4,8121,560000
9502,36,1,2,58,1,6820,908526
9503,360,1,2,2,1,2022,4700000
9504,18,1,2,39,4,8544,130000
9505,48,1,2,33,1,4724,1500000
9506,8,1,2,44,1,6412,3050000
9507,2,1,2,7,4,8692,2700000
9508,30,1,2,3,1,4659,2000000
9509,48,1,2,39,1,8622,1000000
9510,36,2,2,41,4,4771,1000000
9511,12,2,2,98,4,4923,1000000
9512,196,1,2,13,4,8530,1620000
9513,105,1,2,6,2,8610, 
9514,24,2,2,51,4,5611, 
9515,24,2,2,53,6,5611, 
9516,24,2,2,56,4,5611, 
9517,24,2,2,53,6,5611, 
9518,48,2,2,56,4,9601,160000
9519,120,1,2,32,2,8415, 
9520,30,1,2,13,2,8530,4000000
9521,60,2,1,53,4,5619,660000
9522,18,2,2,77,4,5619,90000
9523,444,2,2,45,4,4789,600000
9524,24,2,2,98,4,4921,700000
9525,42,1,2,58,1,4731,1100000
9526,18,1,2,84,1,9499,908526
9527,2,2,2,98,4,4921,400000
9528,8,2,2,98,4,4921,500000
9529,96,1,2,54,1,8890,908526
9530,2,1,2,45,1,4759,900000
9531,20,1,1,95,1,4111,840000
9532,6,2,2,97,4,5224,350000
9533,6,2,2,97,4,5224,350000
9534,240,2,2,61,4,161,600000
9535,18,1,2,53,1,5611,520000
9536,180,2,2,12,4,6910, 
9537,2,1,2,32,1,8551,1200000
9538,248,2,2,53,4,5611,500000
9539,240,2,2,61,4,113,0
9540,240,1,2,98,1,7730, 
9541,60,1,2,13,2,8530,2400000
9542,48,1,2,44,2,6495,1500000
9543,12,2,2,54,4,8121,700000
9544,60,2,2,84,4,9529,200000
9545,24,1,2,3,1,2410,1500000
9546,2,1,2,95,1,4111,800000
9547,276,1,2,13,2,8530,2800000
9548,276,2,2,41,4,4773,3000000
9549,360,2,2,41,5,4772, 
9550,42,1,2,32,1,4773,1400000
9551,324,1,2,13,2,8530,4200000
9552,60,1,2,58,1,1011,908526
9553,6,2,2,38,4,6190,100000
9554,10,1,2,97,1,3110,955000
9555,48,1,2,1,1,4210,3800000
9556,36,1,2,13,2,8530,2800000
9557,18,1,2,30,1,2410,1000000
9558,360,2,2,58,4,8010,750000
9559,18,1,2,77,1,1062,908526
9560,36,2,2,84,4,4520,800000
9561,48,2,2,84,4,4520,700000
9562,3,1,2,58,1,6820,1104000
9563,360,2,2,93,4,4330,800000
9564,12,2,2,16,4,4774,450000
9565,240,2,2,99,4,3830,400000
9566,12,1,2,38,1,8220,908526
9567,420,2,2,95,4,4111,1500000
9568,144,2,2,95,4,4111,700000
9569,48,1,2,45,1,4711,450000
9570,6,1,2,53,1,5619,780000
9571,86,2,2,54,4,8121,100000
9572,21,1,2,97,1,4711,907000
9573,7,1,2,45,1,4773,300000
9574,12,2,2,98,4,4921,300000
9575,12,2,2,54,4,8121,500000
9576,240,2,2,41,5,1410,9999
9577,66,2,2,16,4,7410,600000
9578,128,2,2,45,4,9200,1000000
9579,12,2,2,84,4,3312,800000
9580,24,2,2,41,4,4711,300000
9581,29,1,2,98,1,1104,1200000
9582,120,2,2,57,4,9602,500000
9583,120,1,2,58,2,8423,2500000
9584,60,1,2,2,1,8610,1700000
9585,24,1,2,45,1,4772,600000
9586,34,1,2,59,1,9200,908526
9587,96,1,2,32,1,8010, 
9588,12,2,2,98,4,4921,600000
9589,0,1,2,95,4,4111,700000
9590,2,1,2,58,1,8010,908526
9591,56,1,2,13,1,8544,1250000
9592,204,1,2,59,2,8610,1700000
9593,6,1,2,13,4,8890,1750000
9594,36,1,2,95,4,4111,1200000
9595,24,1,2,32,1,8621,908526
9596,84,1,2,53,1,5611,908526
9597,36,2,2,45,4,4792,80000
9598,0,1,2,45,1,4631,908000
9599,0,1,2,54,3,9700,360000
9600,12,2,2,41,4,4724,150000
9601,360,1,2,13,2,8544,4000000
9602,120,1,2,13,2,8530,2200000
9603,6,2,2,53,4,5619,100000
9604,18,1,2,97,4,5629,908526
9605,120,1,2,45,1,4771,908526
9606,120,2,2,98,4,4921,600000
9607,6,1,2,13,4,8890,1600000
9608,144,2,2,97,4,5224,400000
9609,6,2,2,94,5,3290,1200000
9610,260,1,2,13,2,8530,2350000
9611,68,1,2,95,4,4112,1000000
9612,420,2,2,77,4,5619,150000
9613,12,1,2,40,1,4711,1200000
9614,3,1,2,32,1,7911,725000
9615,13,1,2,58,1,6820,1200000
9616,96,2,2,53,4,5611,970000
9617,120,2,2,84,4,4520,700000
9618,192,2,2,98,4,4921,1200000
9619,300,2,2,41,4,4724,1500000
9620,24,2,2,59,4,9609,600000
9621,72,1,2,17,1,6010,1500000
9622,240,2,2,87,4,2511,700000
9623,36,2,2,41,4,4729,160000
9624,168,2,2,57,4,9602,32000
9625,300,2,2,45,4,4789,400000
9626,1,1,2,62,1,121,800000
9627,1,1,2,62,1,121,800000
9628,240,2,2,95,4,4111,600000
9629,120,2,2,45,4,4781,0
9630,84,2,2,45,4,4781,0
9631,108,2,2,53,4,5619,800000
9632,108,2,2,53,6,5619, 
9633,4,2,2,61,4,144,0
9634,84,1,2,59,1,8610,908000
9635,180,2,2,99,4,3830,200000
9636,300,1,2,13,2,8551,3500000
9637,144,1,2,13,4,8551,3500000
9638,48,1,2,95,1,4663,908526
9639,276,2,2,84,4,4520,1000000
9640,12,1,2,97,1,4665,906000
9641,24,2,2,45,4,4792,200000
9642,7,1,2,84,1,4520,906000
9643,420,2,2,45,4,1394,1200000
9644,11,2,2,41,4,4653,500000
9645,260,1,2,62,8,141,370000
9646,24,2,2,53,5,5611,600000
9647,12,1,2,53,1,5611,450000
9648,180,2,2,45,4,4781,900000
9649,60,1,2,33,1,8512,900000
9650,48,2,2,41,4,4711,350000
9651,24,2,2,45,6,4711, 
9652,180,2,2,13,4,8553,1000000
9653,552,1,2,13,2,8530,3500000
9654,6,1,2,2,4,8412,4000000
9655,72,1,2,13,4,8412,1900000
9656,180,2,2,41,5,4724,1000000
9657,84,1,2,12,2,8424,5500000
9658,2,2,2,98,4,4921,400000
9659,120,2,2,45,4,4782,600000
9660,5,1,2,13,4,8530,1100000
9661,48,2,2,6,4,8622,4000000
9662,0,2,2,53,4,5613,0
9663,8,1,2,95,1,1910,908526
9664,2,2,2,99,4,3830,400000
9665,48,1,2,58,1,4719,908526
9666,1,2,2,13,4,8559,60000
9667,1,2,2,57,4,9602,80000
9668,24,1,1,73,1,210,1208526
9669,1,2,2,41,4,4724,280000
9670,36,2,2,41,4,4711,300000
9671,3,2,2,53,4,5611,800000
9672,96,1,2,21,4,6820,220000
9673,24,1,2,54,3,9700,1110000
9674,1,2,2,61,4,122,350000
9675,12,2,2,45,4,5619,400000
9676,10,2,2,89,4,2395,720000
9677,120,1,2,54,1,8890,908526
9678,4,1,2,3,4,8412,2400000
9679,36,2,2,41,4,4799,600000
9680,120,2,2,18,4,8552,1000000
9681,120,2,2,41,4,4723,900000
9682,18,2,2,45,6,4723, 
9683,2,2,2,62,4,123,400000
9684,12,2,2,95,4,4111,900000
9685,12,2,2,59,4,8730,900000
9686,12,2,2,59,4,7500,900000
9687,5,1,2,41,1,4771,908000
9688,2,2,2,98,4,4921,160000
9689,13,2,2,53,5,5611,800000
9690,2,2,2,95,4,4111,900000
9691,24,2,2,58,4,8010,750000
9692,2,2,2,95,4,4111,700000
9693,1,2,2,95,4,4111,700000
9694,120,1,2,95,1,4111,800000
9695,2,2,2,45,4,4724,700000
9696,2,2,2,41,4,4724,700000
9697,12,2,2,55,4,8121,360000
9698,216,1,2,95,1,6820,908526
9699,36,1,2,33,1,7810,1060000
9700,11,2,2,59,4,8699,300000
9701,4,1,2,2,4,4111,1500000
9702,16,1,1,39,1,8544,1160000
9703,60,1,2,12,1,6910,5000000
9704,54,2,2,77,4,4724,300000
9705,1,1,2,11,1,6492,1690000
9706,48,2,2,41,4,4711,350000
9707,240,2,2,99,4,4520,800000
9708,60,2,2,98,4,4921,720000
9709,3,2,2,41,4,4724,15000
9710,132,2,2,45,4,5619,900000
9711,2,2,2,45,4,4792,50000
9712,60,1,2,98,1,3811,1400000
9713,48,1,2,45,1,1011,908526
9714,6,2,2,45,4,4781,600000
9715,12,1,2,53,1,5611,560000
9716,12,1,2,95,1,4111,1028526
9717,120,2,2,95,4,4111,600000
9718,140,1,2,54,3,9700,900000
9719,14,1,2,38,1,8220,1500000
9720,36,2,2,77,4,1081,100000
